layer_id	Themekey thesaurus	placekey value
fgdc805	GNIS	Massachusetts
fgdc806	GNIS	North Dakota
fgdc809	LCSH	Canada
fgdc81	GNIS	Maryland
fgdc810	GNS	Israel
fgdc813	GNS	North Sea
fgdc814	GNIS	Arkansas
fgdc815	GNIS	Arizona
fgdc817	GNS	Burundi
fgdc819	GNIS	Alaska
fgdc82	GNIS	Nebraska
fgdc821	GNIS	Colorado
fgdc823	LCSH	Canada
fgdc824	GNIS	Louisiana
fgdc825	GNIS	South Carolina
fgdc826	LCSH	United States
fgdc828	GNIS	Rhode Island
fgdc829	GNIS	South Carolina
fgdc831	GNS	Ghana
fgdc832	GNIS	Maine
fgdc835	GNIS	Massachusetts
fgdc836	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc838	GNIS	New Hampshire
fgdc839	GNIS	Kansas
fgdc840	GNIS	Maryland
fgdc842	GNIS	Georgia
fgdc846	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Fen-yang
fgdc846	None	Shanxi Province
fgdc847	GNIS	Arizona
fgdc849	None	Guizhou Province
fgdc85	GNIS	Michigan
fgdc851	GNIS	Pennsylvania
fgdc853	None	World
fgdc854	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc855	None	Ch'ing-hai Province
fgdc856	GNIS	South Dakota
fgdc857	GNIS	Nebraska
fgdc858	GNIS	New Hampshire
fgdc86	GNS	Israel
fgdc860	GNIS	Massachusetts
fgdc861	GNIS	Kentucky
fgdc862	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc863	GNIS	Nevada
fgdc864	GNIS	North Dakota
fgdc869	GNIS	Minnesota
fgdc874	GNIS	Utah
fgdc876	LCSH	"Europe, Central"
fgdc877	GNIS	Iowa
fgdc879	GNIS	Pennsylvania
fgdc88	GNIS	Virginia
fgdc881	GNIS	Colorado
fgdc883	GNIS	Michigan
fgdc885	GNIS	Massachusetts
fgdc887	GNIS	Maryland
fgdc889	GNS	Uganda
fgdc890	GNIS	Nevada
fgdc892	LCSH	Mexico
fgdc893	GNS	Ireland
fgdc894	GNIS	Arkansas
fgdc895	GNIS	Oregon
fgdc896	GNIS	West Virginia
fgdc898	GNIS	Alabama
fgdc899	GNIS	Alaska
fgdc9	GNIS	Iowa
fgdc900	GNIS	Nebraska
fgdc902	GNIS	Illinois
fgdc903	GNIS	Maryland
fgdc904	GNIS	Arizona
fgdc905	GNIS	Kansas
fgdc906	GNIS	Oklahoma
fgdc908	LCSH	Europe
fgdc91	GNIS	Hawaii
fgdc911	None	United States
fgdc912	GNIS	New York
fgdc912	LCSH	New York (State)
fgdc915	GNIS	Louisiana
fgdc917	GNIS	Massachusetts
fgdc918	None	United States
fgdc92	GNIS	Kentucky
fgdc920	GNIS	New Jersey
fgdc922	GNIS	North Dakota
fgdc926	GNIS	Northern Mariana Islands
fgdc927	LCSH	"Africa, North"
fgdc928	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc93	LCSH	Europe
fgdc933	GNIS	Alabama
fgdc934	LCSH	Europe
fgdc936	GNIS	Alabama
fgdc939	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc941	GNIS	New Mexico
fgdc942	GNIS	Washington (State)
fgdc946	GNS	China
fgdc949	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Fu-ning
fgdc95	GNS	Israel
fgdc951	GNIS	Mississippi
fgdc952	GNIS	Massachusetts
fgdc953	GNIS	Kansas
fgdc954	GNIS	Montana
fgdc96	GNIS	California
fgdc963	GNIS	Hawaii
fgdc966	GNIS	West Virginia
fgdc967	GNIS	Iowa
fgdc968	LCSH	Europe
fgdc97	GNIS	Indiana
fgdc973	GNS	Switzerland
