fgdc185	GNIS	 "Pennsylvania"
fgdc186	LCSH	 "Europe"
fgdc187	GNIS	 "Maine"
fgdc188	None	 "United States | Washington"
fgdc189	LCSH	 "United States | Puerto Rico | Virgin Islands of the United States"
fgdc19	GNIS	 "Massachusetts | Assawompset Pond | Taunton | Lakeville | Middleborough | Rochester | Acushnet"
fgdc190	GNS (NIMA)	 "India | Uttarakhand"
fgdc191	GNIS	 "Mississippi"
fgdc192	GNIS	 "New Hampshire | Sullivan County | Acworth | Charlestown | Claremont | Goshen | Langdon | Lempster | Newport | Sunapee | Unity | Washington"
fgdc193	GNIS	 "Massachusetts | Boston | Dorchester"
fgdc194	GNS	 "Burkina Faso | Côte d'Ivoire | Guinea | Liberia | Mali | Sierra Leone"
fgdc195	GNIS	 "Connecticut | New York | New Jersey | Rhode Island"
fgdc196	GNIS	 "New Jersey"
fgdc197	GNS	 "Guinea | Dabola"
fgdc198	GNS	 "Ecuador | Colombia | Peru"
fgdc199	GNIS	 "New York | Adirondack Mountains"
fgdc2	GNIS	 "North Korea | Democratic People's Republic of Korea"
fgdc20	GNS (NIMA)	 "Canada | Nova Scotia | Louisbourg | Louisbourg Harbour"
fgdc200	GNIS	 "Illinois"
fgdc201	GNIS	 "Massachusetts | North Brookfield | Hardwick | Ware | Barre | New Braintree | West Brookfield | Warren | Oakham | Rutland | Spencer"
fgdc202	None	 "Canada"
fgdc203	GNIS	 "Maine"
fgdc204	GNIS	 "South Dakota"
fgdc205	GNIS	 "Massachusetts | Boston | Jamaica Plain"
fgdc206	GNIS	 "District of Columbia"
fgdc206	LCSH	 "Washington (D.C.)"
fgdc207	None	 "United States | U.S. Counties | Counties"
fgdc208	LCSH	 "United States"
fgdc209	GNIS	 "Massachusetts | Maynard | Boxborough | Stow | Hudson | Marlborough | Acton | Sudbury | Concord | Lincoln | Wayland | Bedford | Lexington | Waltham | Weston"
fgdc21	GNIS	 "Kentucky"
fgdc210	GNIS	 "North Dakota"
fgdc210	INCITS.38-200x (R2004),INCITS.31-200x (R2007),INCITS.454-200x,INCITS 455-200x,INCITS 446-2008	 "United States | U.S. | County or Equivalent Entity"
fgdc211	None	 "United States | Vermont"
fgdc212	GNS	 "Israel"
fgdc213	GNIS	 "Massachusetts | Boston"
fgdc214	GNS	 "Netherlands | The Hague"
fgdc215	GNIS	 "Nevada"
fgdc216	GNIS	 "Massachusetts | Boston | Roslindale"
fgdc217	LCSH	 "Europe"
fgdc218	GNIS	 "Massachusetts | Pittsfield | Alford | Becket | Blandford | Chester | Dalton | Egremont | Great Barrington | Hancock | Hinsdale | Lanesborough | Lee | Lenox | Middlefield | Monterey | Mount Washington | New Marlborough | Otis | Peru | Richmond | Sandisfield | Sheffield | Stockbridge | Tolland | Tyringham | Washington | West Stockbridge | Windsor | Worthington"
