Matching text,URI,Label text
"Siebert, Lee.",http://id.loc.gov/rwo/agents/no95016763,"Siebert, Lee."
"Mowry, Andrew S.",http://id.loc.gov/rwo/agents/no99043082,"Mowry, Andrew S."
"Davies, Benjamin Rees.",http://id.loc.gov/rwo/agents/nr2001020850,"Davies, Benjamin Rees."
"Barnes, Rufus L.",http://id.loc.gov/rwo/agents/nr2001023442,"Barnes, Rufus L."
"Starling, Thomas.",http://id.loc.gov/rwo/agents/nr2001033329,"Starling, Thomas."
"Harris, Clarendon, 1800-1884",http://id.loc.gov/rwo/agents/nr90011737,"Harris, Clarendon, 1800-1884"
"Sidney, J. C. (James C.)",http://id.loc.gov/rwo/agents/nr91029378,"Sidney, J. C. (James C.)"
"Knight, Charles, 1743-1827?",http://id.loc.gov/rwo/agents/nr92039592,"Knight, Charles, 1743-1827?"
"Cheffins, Charles F.",http://id.loc.gov/rwo/agents/nr93001067,"Cheffins, Charles F."
"Eakin, C. M. (Constant M.)",http://id.loc.gov/rwo/agents/nr93037879,"Eakin, C. M. (Constant M.)"
"Knorr, E. R. (Ernest Rudolph)",http://id.loc.gov/rwo/agents/nr96004465,"Knorr, E. R. (Ernest Rudolph)"
"Whiteside, Lowell S.",http://id.loc.gov/rwo/agents/nr97001140,"Whiteside, Lowell S."
"Willcox, William H.",http://id.loc.gov/rwo/agents/nr97009590,"Willcox, William H."
"Dunbar, Paula K.",http://id.loc.gov/rwo/agents/nr98012966,"Dunbar, Paula K."
Heliotype Printing Co.,http://id.loc.gov/rwo/agents/n00074164,Heliotype Printing Co.
Pharus-Verlag,http://id.loc.gov/rwo/agents/n2001118771,Pharus-Verlag
Antonio Vallardi (Firm),http://id.loc.gov/rwo/agents/n2001119777,Antonio Vallardi (Firm)
Digital Globe Incorporated,http://id.loc.gov/rwo/agents/n2004113425,Digital Globe Incorporated
Shuttle Radar Topography Mission,http://id.loc.gov/rwo/agents/n2004114410,Shuttle Radar Topography Mission
Erhard Bros. (Firm),http://id.loc.gov/rwo/agents/n2007067194,Erhard Bros. (Firm)
Erhard (Firm),http://id.loc.gov/rwo/agents/n2008046372,Erhard (Firm)
DMTI Spatial Inc.,http://id.loc.gov/rwo/agents/n2011078924,DMTI Spatial Inc.
Mondhare (Firm),http://id.loc.gov/rwo/agents/n50005114,Mondhare (Firm)
Pendleton's Lithography,http://id.loc.gov/rwo/agents/n50010786,Pendleton's Lithography
Railway Clearing House,http://id.loc.gov/rwo/agents/n50043092,Railway Clearing House
Edinburgh Geographical Institute.,http://id.loc.gov/rwo/agents/n50048516,Edinburgh Geographical Institute.
"Kroll Map Company, inc.",http://id.loc.gov/rwo/agents/n50052144,"Kroll Map Company, inc."
National Earthquake Information Center,http://id.loc.gov/rwo/agents/n50062137,National Earthquake Information Center
Massachusetts Bay Transportation Authority,http://id.loc.gov/rwo/agents/n50072489,Massachusetts Bay Transportation Authority
Atlanta Regional Commission,http://id.loc.gov/rwo/agents/n50073707,Atlanta Regional Commission
Society for the Diffusion of Useful Knowledge (Great Britain),http://id.loc.gov/rwo/agents/n50074973,Society for the Diffusion of Useful Knowledge (Great Britain)
Chilton Company.,http://id.loc.gov/rwo/agents/n50077109,Chilton Company.
United States. Congress. House. Office of the Clerk,http://id.loc.gov/rwo/agents/n50080788,United States. Congress. House. Office of the Clerk
"Justus Perthes (Firm : Gotha, Germany)",http://id.loc.gov/rwo/agents/n50081959,"Justus Perthes (Firm : Gotha, Germany)"
United States. National Aeronautics and Space Administration.,http://id.loc.gov/rwo/agents/n78087581,United States. National Aeronautics and Space Administration.
United States. Federal Emergency Management Agency,http://id.loc.gov/rwo/agents/n78090715,United States. Federal Emergency Management Agency
United States. National Oceanic and Atmospheric Administration,http://id.loc.gov/rwo/agents/n79004184,United States. National Oceanic and Atmospheric Administration
Illinois State Geological Survey.,http://id.loc.gov/rwo/agents/n79006542,Illinois State Geological Survey.
International Institute for Applied Systems Analysis.,http://id.loc.gov/rwo/agents/n79021420,International Institute for Applied Systems Analysis.
United States. Federal Highway Administration,http://id.loc.gov/rwo/agents/n79032921,United States. Federal Highway Administration
United States. Federal Aviation Administration,http://id.loc.gov/rwo/agents/n79034443,United States. Federal Aviation Administration
International Organization for Standardization,http://id.loc.gov/rwo/agents/n79034445,International Organization for Standardization
University of Massachusetts at Amherst,http://id.loc.gov/rwo/agents/n79043094,University of Massachusetts at Amherst
United States. Weather Bureau,http://id.loc.gov/rwo/agents/n79049341,United States. Weather Bureau
Alaska. Division of Geological and Geophysical Surveys,http://id.loc.gov/rwo/agents/n79054092,Alaska. Division of Geological and Geophysical Surveys
Nature Conservancy (U.S.),http://id.loc.gov/rwo/agents/n79055461,Nature Conservancy (U.S.)
Geological Survey of Canada.,http://id.loc.gov/rwo/agents/n79058470,Geological Survey of Canada.
Massachusetts. General Court. Senate,http://id.loc.gov/rwo/agents/n79059262,Massachusetts. General Court. Senate
Amtrak,http://id.loc.gov/rwo/agents/n79063287,Amtrak
United States. Bureau of Mines,http://id.loc.gov/rwo/agents/n79063444,United States. Bureau of Mines
Cambridge Historical Commission,http://id.loc.gov/rwo/agents/n79065236,Cambridge Historical Commission
Massachusetts Coastal Zone Management Office,http://id.loc.gov/rwo/agents/n79068668,Massachusetts Coastal Zone Management Office
Boston Edison Company,http://id.loc.gov/rwo/agents/n79075538,Boston Edison Company
Massachusetts Historical Commission,http://id.loc.gov/rwo/agents/n79089031,Massachusetts Historical Commission
Massachusetts. Division of Fisheries and Wildlife,http://id.loc.gov/rwo/agents/n79098540,Massachusetts. Division of Fisheries and Wildlife
United States. Central Intelligence Agency,http://id.loc.gov/rwo/agents/n79099301,United States. Central Intelligence Agency
United States. Federal Railroad Administration,http://id.loc.gov/rwo/agents/n79114219,United States. Federal Railroad Administration
First National Bank of Boston,http://id.loc.gov/rwo/agents/n79130884,First National Bank of Boston
Petroleum Information Corporation,http://id.loc.gov/rwo/agents/n80004222,Petroleum Information Corporation
National Geophysical Data Center,http://id.loc.gov/rwo/agents/n80020833,National Geophysical Data Center
Edward Stanford Ltd.,http://id.loc.gov/rwo/agents/n80036740,Edward Stanford Ltd.
Robert Sayer and John Bennett (Firm),http://id.loc.gov/rwo/agents/n80044823,Robert Sayer and John Bennett (Firm)
United States. Defense Mapping Agency,http://id.loc.gov/rwo/agents/n80050499,United States. Defense Mapping Agency
Homann Erben (Firm),http://id.loc.gov/rwo/agents/n80051855,Homann Erben (Firm)
"Freytag, Berndt und Artaria.",http://id.loc.gov/rwo/agents/n80079878,"Freytag, Berndt und Artaria."
